Author,Year,Title,Grau,Course,Pages,Institution,City,Link
"Araujo, Israel Ferraz De",2022,Otimização De Circuitos Para A Inicialização De Estados Quânticos,Doutorado, Ciências Da Computação,129,Universidade Federal De Pernambuco,Recife,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11731316
"Silva, Caue Francisco Teixeira Da",2022,Caminhando Em Vértices E Arestas Com O Passeio Quântico Contínuo No Tempo,Doutorado, Modelagem Computacional,65,Laboratório Nacional De Computação Ciêntífica,Petrópolis,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=12529431
"Bertei, Alex",2022,Extension Of The Correlation Coefficient Analysis Via Fuzzy Aggregations Applied In The Dynamic Consolidation Of Virtual Machine In Cloud Computing,Doutorado, Computação,145,Universidade Federal De Pelotas,Pelotas,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11636845
"Schneider, Guilherme Bayer",2022,Uma Contribuição Ao Int-Flbcc Explorando Consenso Fuzzy Via Funções De Penalidade,Mestrado, Computação,98,Universidade Federal De Pelotas,Pelotas,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11607227
"Moura, Bruno Moura Paz De",2022,Uma Abordagem Flexível Para Consolidação Dinâmica De Servidores Na Computação Em Nuvem Explorando Lógica Fuzzy Valorada Intervalarmente,Doutorado, Computação,122,Universidade Federal De Pelotas,Pelotas,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11729345
"Menicucci, Lucas De Souza",2022,"Entanglement Entropy Of Free Scalar Fields, A Numerical Study",Mestrado, Física,undefined,Universidade Federal De Minas Gerais,Belo Horizonte,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11666821
"Carlos, Guilherme Baldo",2023,Quantum-Inspired Neural Architecture Search Applied To Semantic Segmentation,Mestrado, Engenharia Elétrica,81,Pontifícia Universidade Católica Do Rio De Janeiro,Rio De Janeiro,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13831768
"Sousa, Claudomir Pinto De",2021,Comparador Quantum-Óptico De Sequência De Bits E Aplicações,Doutorado, Engenharia De Teleinformática,undefined,Universidade Federal Do Ceará,Fortaleza,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10962398
"Camargo, Luana Carol De",2021,"Complexos Organometálicos De Titânio(Iii) E Vanádio(Iv) Como Potenciais Unidades Moleculares De Informação Quântica (Qubits Moleculares): Síntese, Caracterização E Estudos De Relaxação Magnética",Mestrado, Química,110,Universidade Federal Do Paraná,Curitiba,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10945986
"Fernandes, Marllos Eustaquio Fonseca",2023,Teoria De Controle Ótimo Aplicada A Sistemas Quânticos Abertos,Doutorado, Física,105,Universidade Federal De São Carlos,São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14019389
"Bezerra, Raquel Costabile",2020,Estudo Da Adsorção De Álcoois Sobre Clusters E Superfícies De Metais De Transição Utilizando A Teoria Do Funcional Da Densidade,Doutorado, Química,173,Universidade Federal Do Amazonas,Manaus,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10489757
"Policarpo, Samy Clever",2023,Computação Reversível Fotônica: Uma Proposta De Uma Porta Toffoli Usando Qnd Para Qubits Baseados Em Polarização E Suas Aplicações,Doutorado, Engenharia De Teleinformática,undefined,Universidade Federal Do Ceará,Fortaleza,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14426126
"Bastos, Daniel Chicayban",2023,Uma Generalização Do Algoritmo De Shor,Doutorado, Computação,undefined,Universidade Federal Fluminense,Niterói,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11971629
"Tosta, Allan David Cony",2021,“Quantum Information And Computation With One-Dimensional Anyons”,Doutorado, Física,169,Universidade Federal Fluminense,Niterói,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10635179
"Alonso, Marcos Benicio De Andrade",2021,"“Amostragem Bosônica Com Estados Gaussianos”,",Mestrado, Física,93,Universidade Federal Fluminense,Niterói,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11010961
"Scursulim, Jose Victor Soares",2021,Computação Quântica E Teoria Quântica De Correção De Erros.,Mestrado, Física,200,Universidade Federal Do Espírito Santo,Vitória,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11082135
