Unnamed: 0,Author,Year,Title,Grau,Course,Pages,Institution,City,Link,Resumo,Autor,Orientador,Palavras,Area,Linha,Projeto,Financiador,PDF_Name
0,"Araujo, Israel Ferraz De",2022,Otimização De Circuitos Para A Inicialização De Estados Quânticos,Doutorado, Ciências Da Computação,129,Universidade Federal De Pernambuco,Recife,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11731316,"a teoria dos algoritmos quânticos promete benefícios sem precedentes ao utilizar as leis da mecânica quântica para resolver certos problemas computacionais. entretanto, alguns desafios impedem que tais vantagens se apliquem a todos os algoritmos quânticos. entre esses desafios está o desenvolvimento de uma codificação eficiente de dados clássicos em um estado quântico. em aplicações práticas, o custo para carregar a informação clássica em um dispositivo quântico pode dominar o custo computacional assintótico do algoritmo. foram propostos diversos métodos baseados em circuitos para codificar dados clássicos nas amplitudes de probabilidade de um estado quântico. entretanto, esses métodos produzem circuitos com complexidade que cresce linearmente com o tamanho do dado, anulando o benefício da aplicação quântica. o objetivo principal deste trabalho é reduzir a complexidade computacional dos circuitos para a inicialização de estados quânticos. as duas estratégias utilizadas para alcançar tal objetivo exploram a troca de complexidade temporal por espacial ou a transferência de complexidade computacional para um computador clássico. a primeira estratégia reinterpreta métodos algébricos para a decomposição de estados quânticos como caminhadas ao longo de árvores binárias. a segunda investiga o grau de emaranhamento de bipartições do estado quântico através da decomposição de schmidt. os métodos baseados em árvore alcançam uma redução exponencial na profundidade dos circuitos, em comparação às abordagens existentes. os baseados na decomposição de schmidt produzem circuitos de complexidade variável, proporcional ao emaranhamento do estado. a perspectiva é que o resultado desta tese auxilie os profissionais da computação quântica durante a era dos dispositivos ruidosos de escala intermediária.",Israel Ferraz De Araujo,Adenilton Jose Da Silva,"['Computação Quântica', 'Preparação De Estados', 'Otimização De Circuitos', 'Estados Aproximados']",Computação Inteligente,['Redes Neurais'],,,Download Failed
1,"Silva, Caue Francisco Teixeira Da",2022,Caminhando Em Vértices E Arestas Com O Passeio Quântico Contínuo No Tempo,Doutorado, Modelagem Computacional,65,Laboratório Nacional De Computação Ciêntífica,Petrópolis,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=12529431,"a dinâmica de passeios quânticos obedece às leis da mecânica quântica com uma restrição extra de localidade, a qual demanda que o operador de evolução seja local, no sentido que o caminhante deve visitar locais vizinhos antes de visitar locais distantes. normalmente, o hamiltoniano é obtido das matrizes de adjacência ou laplaciana do grafo e o caminhante pula de um vértice para vértices vizinhos. neste trabalho, definimos uma versão do passeio quântico a tempo contínuo que permite o caminhante pular de vértice para aresta. como uma aplicação, analisamos o algoritmo de busca espacial no grafo bipartido completo através de uma modificação na nova versão do hamiltoniano com um termo extra que depende da localização do vértice marcado ou da aresta marcada, de forma similar ao que é feito no modelo de passeio quântico a tempo contínuo. nós mostramos que o tempo de execução ótimo para achar ou um vértice, ou uma aresta é $o(\sqrt{n_e})$ com probabilidade de sucesso $1-o(1)$, onde $n_e$ é o número de arestas do grafo bipartido completo",Caue Francisco Teixeira Da Silva,Renato Portugal,"['Computação Quântica', 'Passeio Aleatório (Matemática)', 'Teoria Dos Grafos', 'Processos De Markov']",Modelagem Computacional,['Computação Científica'],"Algoritmos Quânticos: Desenvolvimento, Análise E Implementação",Cons Nac De Desenvolvimento Cientifico E Tecnologico - Bolsa De Mestrado Gm E Doutorado Gd,1-tese_lncc-_final.pdf
2,"Bertei, Alex",2022,Extension Of The Correlation Coefficient Analysis Via Fuzzy Aggregations Applied In The Dynamic Consolidation Of Virtual Machine In Cloud Computing,Doutorado, Computação,145,Universidade Federal De Pelotas,Pelotas,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11636845,"bertei, alex. extensão da análise do coeficiente de correlação via agregações fuzzy aplicadas na consolidação dinâmica de máquinas virtuais na computação em nuvem. orientadora: renata hax sander reiser. 2022. 145 f. tese (doutorado em ciência da computação) – centro de desenvolvimento tecnológico, universidade federal de pelotas, pelotas, 2022. a teoria dos conjuntos fuzzy (fs) tem sido amplamente utilizada em diversos campos da sociedade moderna desde que foi proposta por zadeh em 1965. o conjunto fuzzy tradicional enfrenta um limite específico por não apresentar uma descrição abrangente de todas as informações dos problemas investigados. a teoria dos conjuntos fuzzy intuicionistas de atanassov (a-ifs) fornece uma importante extensão fuzzy para melhor explorar e modelar situações onde há hesitação, lidando com as informações fuzzy de pertinência e não pertinência. atanassov e gargov apresentaram o conceito de conjunto fuzzy intuicionista com valor de intervalo de atanassov (a-ivifs) e estenderam a capacidade do a-ifs, lidando não apenas com a hesitação, mas também com informações imprecisas. nessas abordagens, a análise de correlação considera a extensão do coeficiente de correlação de pearce, aplicado em diversas áreas de pesquisa como análise de agrupamento, tomada de decisão, processamento digital de imagens e diagnóstico médico. este trabalho propõe a extensão da análise do coeficiente de correlação, introduzindo o estudo e aplicação de uma generalização do coeficiente de correlação seguindo abordagens distintas: (i) apresenta-se o método construtivo da generalização do coeficiente de correlação fuzzy n-dimensional, baseado em funções conjuntivas não normadas n-dimensionais, operadores de média n-dimensionais e funções de dissimilaridade não normadas bivariadas. (ii) a extensão do coeficiente de correlação de a-ifs para a-ivifs é introduzida, com base no coeficiente de correlação fuzzy generalizado n-dimensional aplicado às funções de projeção aos índices fuzzy intuicionistas com valor de intervalo. (iii) o estudo das principais propriedades e expressões algébricas do coeficiente de correlação generalizado para a-ifs e a-ivifs são discutidos, com foco em conectivos modais fuzzy e, também, considerando operadores duais e conjugados. (iv) concebe-se a extensão do componente denominado de balanceamento de carga fuzzy intervalar para computação em nuvem (int-flbcc), adicionando um grau de confiabilidade nos resultados das informações correlacionadas, que são obtidas por avaliação através do método coeficiente de correlação fuzzy generalizado n-dimensional, que é realizado sobre os conjuntos fuzzy relacionados à etapa de defuzzificação. a metodologia de correlação proposta é integrada ao modelo int-flbcc, como uma análise potencial adicional, colaborando para alcançar uma abordagem flexível para consolidação dinâmica de máquinas virtuais, permitindo modelar incertezas no uso de recursos e eficiência energética na computação em nuvem.",Alex Bertei,Renata Hax Sander Reiser,"['Conjunto Fuzzy Intuicionista Com Valor De Intervalo De Atanassov.', 'Coefficiente De Correlação', 'Conjuntos Fuzzy', 'Conjunto Fuzzy Intuicionista De Atanassov']",Ciência Da Computação,['Fundamentos Da Computação'],Q-Flex: Computações Flexíveis Via Simulações Quânticas Com Suporte No Modelo Hybrid-Gm,,2-TESE_ALEX_BERTEI__final.pdf
3,"Schneider, Guilherme Bayer",2022,Uma Contribuição Ao Int-Flbcc Explorando Consenso Fuzzy Via Funções De Penalidade,Mestrado, Computação,98,Universidade Federal De Pelotas,Pelotas,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11607227,"schneider, guilherme bayer. uma contribuição ao int-flbcc explorando consenso fuzzy via funções de penalidade. orientador: renata hax sander reiser. 2022. 98 f. dissertação (mestrado em ciência da computação) – centro de desenvolvimento tecnológico, universidade federal de pelotas, pelotas, 2022. a consolidação dinâmica de recursos nas infraestruturas disponibilizadas pelas nuvens computacionais é uma estratégia bastante utilizada para melhorar a eficiência energética na computação em nuvem (cn). determinar quando é melhor realocar máquinas virtuais (mvs) de hosts sobrecarregados, ou que estejam com uma carga muito baixa, é um aspecto que influencia diretamente na utilização de recursos e na qualidade de serviço oferecida pela infraestrutura de cn. enquanto etapa importante dos esforços de estudo e pesquisa, foi realizada uma revisão sistemática da literatura através da formulação de uma string de pesquisa, um critério de inclusão e quatro critérios de exclusão. ao final desta etapa, foram selecionados oito trabalhos, sendo apresentadas suas principais características e as estratégias usadas para o gerenciamento de recursos na cn. considerando este contexto, este trabalho tem por objetivo a concepção de uma abordagem para a consolidação de recursos em um ambiente de cn, que considere o tratamento de informações relacionadas ao poder computacional, custo de comunicação e consumo de memória ram. para tal, a abordagem proposta estende o int-flbcc, que consiste em uma abordagem de lógica fuzzy valorada intervalarmente, acrescentando um grau de confiabilidade aos resultados obtidos com uma avaliação através de medidas de consenso. foram feitas avaliações explorando duas frentes: (i) onde são exploradas medidas de consenso e penalidades em valores fuzzy, a partir das funções de pertinência; e (ii) que considera a imprecisão inerente aos conjuntos fuzzy valorados intervalarmente referente às variáveis de entrada e saída. as avaliações realizadas apontam resultados promissores no tratamento da imprecisão através das funções desenvolvidas no int-flbcc, e ainda, em virtude da exploração do consenso fuzzy, é gerada uma maior confiabilidade no tratamento da incerteza presente nas informações capturadas de uma infraestrutura típica de cn.",Guilherme Bayer Schneider,Renata Hax Sander Reiser,"['Análise De Consenso.', 'Lógica Fuzzy Valorada Intervalarmente', 'Computação Em Nuvem', 'Computação Verde']",Ciência Da Computação,['Fundamentos Da Computação'],Q-Flex: Computações Flexíveis Via Simulações Quânticas Com Suporte No Modelo Hybrid-Gm,Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Demanda Social,3-DissertacaoFinalGuilherme.pdf
4,"Moura, Bruno Moura Paz De",2022,Uma Abordagem Flexível Para Consolidação Dinâmica De Servidores Na Computação Em Nuvem Explorando Lógica Fuzzy Valorada Intervalarmente,Doutorado, Computação,122,Universidade Federal De Pelotas,Pelotas,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11729345,"moura, bruno moura paz de. uma abordagem flexível para consolidação dinâmica de servidores na computação em nuvem explorando lógica fuzzy valorada intervalarmente. orientadora: renata hax sander reiser. 2022. 122 f. tese (doutorado em ciência da computação) – centro de desenvolvimento tecnológico, universidade federal de pelotas, pelotas, 2022. considerando as características e a escalabilidade dos ambientes típicos da computação em nuvem uma das suas principais demandas é o gerenciamento eficiente de recursos. dentre as técnicas para o gerenciamento de recursos destaca-se a consolidação dinâmica das máquinas virtuais (mv) empregadas. esta consolidação vem se mostrando uma técnica eficaz, com elevado potencial para otimizar a utilização dos recursos e a eficiência energética dos data centers empregados nas nuvens computacionais. a consolidação de mvs é estruturada em quatro etapas principais: determinação das máquinas físicas sobrecarregadas, determinação das máquinas físicas sub-carregadas, seleção de mvs para migração e a alocação de mvs. a modelagem destas fases, e consequentemente o seu impacto no gerenciamento de recursos, influencia diretamente os aspectos de utilização dos mesmos, como eficiência energética, sla e, consequentemente a qos. apesar de diversas estratégias estarem sendo propostas para realizar o gerenciamento de recursos, ainda não está disponível uma abordagem que faculte a consolidação de diferentes cenários e/ou aplicações da computação em nuvem. com esta motivação, este trabalho explora o emprego de estratégias baseadas em lógica fuzzy na tomada de decisão quando do gerenciamento de recursos na computação em nuvem, as quais permitem realizar um tratamento preventivo das incertezas associadas às variáveis dos ambientes computacionais empregados. de modo mais específico, este trabalho tem como objetivo central a concepção de uma abordagem flexível empregando a lógica fuzzy valorada intervalarmente para realizar o tratamento de questões da consolidação dinâmica de servidores na computação em nuvem. na abordagem ainda é previsto o emprego de novos operadores de agregação utilizados no processo de inferência do sistema fuzzy, representando as uniões e interseções. a abordagem proposta também considera a utilização de métodos para ordenação de intervalos, visando prover suporte para os casos em que os métodos convencionais não atendem. os resultados atingidos com o uso da abordagem int-flbcc permitiram bons níveis de eficiência energética, enquanto foram preservados os slas da infraestrutura de cn.",Bruno Moura Paz De Moura,Renata Hax Sander Reiser,"['Computação Verde.', 'Computação Em Nuvem', 'Lógica Fuzzy Tipo-2', 'Lógica Fuzzy Valorada Intervalar']",Ciência Da Computação,['Fundamentos Da Computação'],Q-Flex: Computações Flexíveis Via Simulações Quânticas Com Suporte No Modelo Hybrid-Gm,,4-Tese_Bruno_Moura.pdf
5,"Menicucci, Lucas De Souza",2022,"Entanglement Entropy Of Free Scalar Fields, A Numerical Study",Mestrado, Física,undefined,Universidade Federal De Minas Gerais,Belo Horizonte,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11666821,"investigações sobre a origem microscópica da entropia de buracos negros revelaram uma propriedade interessante sobre a quantidade de emaranhamento entre duas regiões espa- ciais complementares para o estado de vácuo de um campo escalar real livre [17], sua proporcionalidade à área da superfície que separa as duas regiões. desde então, a entropia de emaranhamento se tornou uma ferramenta importante para explorar a estrutura interna de campos quânticos. apesar da lei de área se provar um caso específico, novos estudos revelaram a dependência dessa quantidade a propriedades geométricas do espaço-tempo, pela presença de coeficientes universais [38]. nesta dissertação, um estudo numérico da entropia de emaranhamento de um campo escalar real livre com uma curvatura de fundo é apresentado. dois coeficientes universais são estimados. os valores obtidos concordam bem com os previstos analiticamente. uma descrição das técnicas usadas assim como uma breve revisão das teorias necessárias são também inclusas",Lucas De Souza Menicucci,Nelson De Oliveira Yokomizo,"['Entropia De Emaranhamento', ' Teoria Quântica De Campos', ' Teoria De Campos Em Lattices', ' Computação Numérica']",Fisica,['Física Clássica E Física Quântica'],,Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Excelência Acadêmica,Download Failed
6,"Carlos, Guilherme Baldo",2023,Quantum-Inspired Neural Architecture Search Applied To Semantic Segmentation,Mestrado, Engenharia Elétrica,81,Pontifícia Universidade Católica Do Rio De Janeiro,Rio De Janeiro,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13831768,"redes neurais profundas são responsáveis pelo grande progresso em diversas tarefas perceptuais, especialmente nos campos da visão computacional, reconhecimento de fala e processamento de linguagem natural. estes resultados produziram uma mudança de paradigma nas técnicas de reconhecimento de padrões, deslocando a demanda do design de extratores de características para o design de arquiteturas de redes neurais. no entanto, o design de novas arquiteturas de redes neurais profundas é bastante demandanteem termos de tempo e depende fortemente da intuição e conhecimento de especialistas, além de se basear em um processo de tentativa e erro. neste contexto, a idea de automatizar o design de arquiteturas de redes neurais profundas tem ganhado popularidade, estabelecendo o campo da busca por arquiteturas neurais (nas - neural architecture search). para resolver o problema de nas, autores propuseram diversas abordagens envolvendo o espaço de buscas, a estratégia de buscas e técnicas para mitigar o consumo de recursos destes algoritmos. o q-nas (quantum-inspired neural architecture search) é uma abordagem proposta para endereçar o problema de nas utilizando um algoritmo evolucionário com inspiração quântica como estratégia de buscas. este método foi aplicado de forma bem sucedida em classificação de imagens, superando resultados de arquiteturas de design manual nos conjuntos de dados cifar-10 e cifar-100 além de uma aplicação de mundo real na área da sísmica. motivados por este sucesso, propõe-se nesta dissertação o segqnas (quantum-inspired neural architecture search applied to semantic segmentation), uma adaptação do q-nas para a tarefa de segmentação semântica. diversos experimentos foram realizados com objetivo de verificar a aplicabilidade do segqnas em dois conjuntos de dados do desafio medical segmentation decathlon. o segqnas foi capaz de alcançar um coeficiente de similaridade dice de 0.9583 no conjunto de dados de baço, superando os resultados de arquiteturas tradicionais como u-net e resu-net e atingindo resultados comparáveis a outros trabalhos que aplicaram nas a este conjunto de dados, mas encontrando arquiteturas com muito menos parãmetros. no conjunto de dados de próstata, o segqnas alcançou um coeficiente de similaridade dice de 0.6887 superando a u-net, resu-net e o trabalho na área de nas que utilizamos como comparação.",Guilherme Baldo Carlos,Marley Maria Bernardes Rebuzzi Vellasco,"['Busca Por Arquitetura Neural', 'Algoritmos Evolucionários', 'Segmentação Semântica', 'Computação Com Inspiração Quântica.']",Métodos De Apoio À Decisão,['Inteligência Computacional'],Modelos Inteligentes E Suas Aplicações,Faculdades Catolicas - Bolsas Vrac,6-Guilherme_Baldo_Carlos.pdf
7,"Sousa, Claudomir Pinto De",2021,Comparador Quantum-Óptico De Sequência De Bits E Aplicações,Doutorado, Engenharia De Teleinformática,undefined,Universidade Federal Do Ceará,Fortaleza,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10962398,"a computação quântica tem atraído muita atenção por causa de seu poder computacional em comparação a computação clássica e, consequentemente, vários algoritmos quânticos foram propostos na literatura. no entanto, o hardware capaz de implementar tais algoritmos ainda é um desafio. neste trabalho, fornecemos um hardware óptica para implementação de um comparador de sequência de bits quânticos, qbsc, para qubit baseado em polarização, usando o efeito kerr não linear. o qbsc é uma estrutura importante para a implementação de declarações condicionais em algoritmos quânticos.",Claudomir Pinto De Sousa,Joao Batista Rosa Silva,"['Computação Quântica', 'Efeito Kerr Não Linear', 'Comparador Quantum-Óptico De Sequência De Bits']",Eletromagnetismo Aplicado,['Dispositivos E Sistemas Quânticos'],Novas Tecnologias Para Desenvolvimento Das Engenharias De Computação E De Telecomunicações.,Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Demanda Social,7-2021_tese_cpsousa.pdf
8,"Camargo, Luana Carol De",2021,"Complexos Organometálicos De Titânio(Iii) E Vanádio(Iv) Como Potenciais Unidades Moleculares De Informação Quântica (Qubits Moleculares): Síntese, Caracterização E Estudos De Relaxação Magnética",Mestrado, Química,110,Universidade Federal Do Paraná,Curitiba,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10945986,"nos últimos anos, em vista da demanda representada por altos volumes de dados e pela complexidade dos desafios computacionais a serem enfrentados com segurança e precisão, aumentar a velocidade e a capacidade de processamento de informações através da computação quântica se mostrou imprescindível. neste contexto, o desenvolvimento e o aprimoramento de qubits (bits quânticos) tornou-se uma prioridade para a pesquisa desenvolvida em ambientes acadêmicos e empresariais. dentre os diversos tipos de qubits, os sistemas moleculares baseados no spin eletrônico têm se mostrado atrativos em vista da sua versatilidade para a modulação de tempos de coerência quântica através de design químico. complexos de titânio(iii) e vanádio(iv), por sua vez, atraem interesse por apresentarem s = ½ e serem portanto candidatos a qubits de dois níveis. neste trabalho nos propusemos a sintetizar, caracterizar e estudar os tempos de coerência quântica de complexos organometálicos do tipo sanduíche de titânio(iii) e vanádio(iv) contendo ligantes planares insaturados. as sínteses foram inicialmente adaptadas a partir de rotas descritas na literatura, mas posteriormente foram desenvolvidas novas metodologias em nosso laboratório que resultaram em altos rendimentos. os dois primeiros compostos sintetizados, [cptiiii(cot)] e [cpviv(cht)] (cp = ciclopentadienila; cot = ciclo-octatetraeno; cht = ciclo-heptatrieno), foram caracterizados por espectroscopia de absorção no infravermelho (ft-ir), difratometria de raios x em monocristal, análise elementar e espectroscopia de ressonância paramagnética eletrônica (rpe) de onda contínua e pulsada. na determinação da dinâmica de spins (tempos de relaxação t1 e t2), ambos os produtos foram analisados em solução congelada com tolueno deuterado e em solução sólida com o complexo diamagnético [cptiiv(cht)] como solvente. os valores de tm (tempo de coerência ou tempo de memória de fase) dos dois compostos paramagnéticos em solução sólida a 3% em mol foram baixos, entre 0,10 e 1,0 μs; contudo, em solução deuterada o [cptiiii(cot)] apresentou valores de tm muito promissores entre 10 e 50 s em temperaturas abaixo de 20 k. o complexo de vanádio(iv), por sua vez, possui tm entre 8 e 11 s nas mesmas condições. estes valores são surpreendentemente altos para moléculas que contêm vários átomos de hidrogênio na vizinhança dos centros metálicos, os quais são eficientes em gerar decoerência. por ser sublimável sob vácuo em temperaturas facilmente acessíveis, o [cptiiii(cot)] também foi utilizado em estudos de deposição em superfícies de ouro metálico. ele se deposita na forma de uma monocamada sem decomposição e, através de cálculos mecânicos quânticos, confirmou-se que a deposição acontece de duas maneiras: com a molécula orientada verticalmente e o ligante cot2− em contato com a superfície, ou com a molécula numa orientação aproximadamente horizontal, paralela à superfície. com base nos resultados destes estudos de deposição, desenvolvemos uma nova rota de síntese para compostos análogos do tipo sanduíche contendo o ligante fluorenila em substituição à ciclopentadienila, com a finalidade de aumentar a área superficial do complexo e possivelmente provocar interações mais fortes com a superfície ou entre as camadas moleculares depositadas.",Luana Carol De Camargo,Jaisa Fernandes Soares,"['Quantum Bits', 'Titânio(Iii). Vanádio(Iv)', 'Organometálico. Decoerência']",Química Inorgânica,['Química De Materiais'],"Complexos Organometálicos De Metais Dos Blocos D E F: Preparação E Aplicações Em Magnetismo Molecular, Computação Quântica E Catálise",Cons Nac De Desenvolvimento Cientifico E Tecnologico - Bolsa Produtividade Em Pesquisa,8-Dissertação_LUANA_CAROL_DE_CAMARGO.pdf
9,"Fernandes, Marllos Eustaquio Fonseca",2023,Teoria De Controle Ótimo Aplicada A Sistemas Quânticos Abertos,Doutorado, Física,105,Universidade Federal De São Carlos,São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14019389,"esta tese, fundamentada na área da computação quântica, explora tópicos diversos e cruciais para o avanço desta área. primeiramente, introduzimos uma inovadora solução de “double-bang” usando a teoria do controle ótimo para a preparação de  estados no contexto do teletransporte quântico. combinada ao protocolo de teletrans- porte por porta adiabática, essa abordagem oferece uma maneira experimentalmente  viável para a implementação da computação quântica universal. em seguida, dire- cionamos nosso foco para a computação quântica adiabática, revelando a robustez  do protocolo de emaranhamento adiabático ao ruído e propondo melhorias para o protocolo de teletransporte através da inclusão de campos de controle locais. em conjunto, esses estudos oferecem contribuições para o avanço da computação quântica, proporcionando perspectivas práticas para futuras implementações em dispositivos nisq (noisy intermediate-scale quantum). por fim, aplicamos o método de krotov para encontrar controles otimizados em sistemas quânticos abertos, destacando a eficácia da otimização não unitária na preparação de estados, embora a otimização unitária muitas vezes se equipare na implementação de portas quânticas.",Marllos Eustaquio Fonseca Fernandes,Leonardo Kleber Castelano,"['Computação Quântica', 'Emaranhamento', 'Telestransporte', 'Controle Ótimo', ' Método Krotov', 'Teorema Adiabático', ' Dissipação']",Física,['Física Da Matéria Condensada'],Interface Spin-Fóton Baseada Em Pontos Quânticos Carregados,Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Demanda Social,9-tese_marllos.pdf
